cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:blank	ATTRIBUTE_sample_name:GNPSGROUP:mock	ATTRIBUTE_sample_name:GNPSGROUP:untreated	ATTRIBUTE_sample_name:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp
48	203.17546256415645	2.353844	0	387329.03	0.0	0.0	0.0	387329.03	0.0	0.0	0.0
49	218.138790090492	2.5226283	0	2379273.5	0.0	0.0	515765.75	2379273.5	0.0	0.0	0.0
50	202.1437618558379	2.5830028	0	1111282.4	0.0	0.0	451180.53	1111282.4	0.0	0.0	0.0
51	176.12821464724448	2.6942291	0	889219.56	0.0	0.0	461380.38	889219.56	0.0	0.0	0.0
52	188.1281833371238	2.8144462	0	18714456.0	1609175.4	0.0	2937123.2	18714456.0	1609175.4	0.0	0.0
53	210.11019965039927	2.8144462	0	27927962.0	1809421.0	0.0	3306961.8	27927962.0	1809421.0	0.0	0.0
54	170.11758653722435	2.8144462	0	51789640.0	4429106.0	0.0	6372065.0	51789640.0	4429106.0	0.0	0.0
55	124.11229654906384	2.8144462	0	4795662.5	417164.4	0.0	744033.8	4795662.5	417164.4	0.0	0.0
56	142.1227053725606	2.8144462	0	5716948.5	498050.38	0.0	832963.4	5716948.5	498050.38	0.0	0.0
57	233.18598897926407	2.8144462	0	5597106.5	578640.2	0.0	1103983.1	5597106.5	578640.2	0.0	0.0
58	244.15435603196897	2.9503887	0	1306634.4	0.0	0.0	336731.7	1306634.4	0.0	0.0	0.0
59	217.19118373469152	2.9966414	0	519042.06	0.0	0.0	0.0	519042.06	0.0	0.0	0.0
60	172.1332150463502	3.0043938	0	1721662.5	397713.03	0.0	705133.7	1721662.5	397713.03	0.0	0.0
61	230.1387261738499	3.1216033	0	1331410.0	0.0	0.0	0.0	1331410.0	0.0	0.0	0.0
62	273.1672264184139	3.311168	0	391000.8	457536.28	424020.0	468553.03	391000.8	457536.28	424020.0	364798.66
63	242.13865842999445	3.3316483	0	2017917.4	0.0	0.0	492772.34	2017917.4	0.0	0.0	0.0
64	184.1333130593828	3.351902	0	5470111.5	464850.94	0.0	658011.4	5470111.5	464850.94	0.0	0.0
65	202.1437900789352	3.3565016	0	2417876.5	0.0	0.0	0.0	2417876.5	0.0	0.0	0.0
66	224.12610535985127	3.3565016	0	2078635.8	0.0	0.0	0.0	2078635.8	0.0	0.0	0.0
67	283.05015077374685	3.5570188	0	481992.4	0.0	0.0	0.0	481992.4	0.0	0.0	0.0
68	168.13838255057524	3.6769366	0	946523.2	0.0	0.0	0.0	946523.2	0.0	0.0	0.0
